Country Name,GDP per capita (current US$)
Afghanistan,363.674087113049
Albania,6802.80451885113
United Arab Emirates,53757.8632508308
Argentina,13686.0086737317
Armenia,7014.20659172274
Australia,64491.4298860631
Austria,52131.4466586387
Belgium,49582.8253649187
Benin,1303.22201358944
Burkina Faso,832.884265674075
Bangladesh,2688.30395035828
Bulgaria,13772.476794451
Bahrain,30152.0346838601
Bosnia and Herzegovina,7585.37500171521
Bolivia,3523.27373305196
Brazil,8917.67389796927
Canada,54966.4888361088
Switzerland,92101.4697414382
Chile,15355.5064965406
China,12720.2156397612
Cameroon,1588.47872338696
Colombia,6630.28272608054
Costa Rica,13198.8217168097
Cyprus,31283.505859375
Czechia,27638.3732756288
Germany,48432.4558732596
Denmark,66983.1320017138
Dominican Republic,10120.5511632969
Algeria,4273.92218311515
Ecuador,6391.28248430643
Spain,29350.1685214481
Estonia,28332.6290917984
Ethiopia,1027.58591828225
Finland,50536.6244670541
France,40963.837337041
Gabon,8820.34733810024
United Kingdom,45850.4261222629
Georgia,6627.70698037798
Ghana,2175.85976967011
Guinea,1531.65647549394
Greece,20732.0522190537
Honduras,3040.17307960182
Croatia,18413.2346820557
Hungary,18463.2085249699
Indonesia,4787.99930765134
India,2388.62119776762
Ireland,104038.946076296
Iraq,5937.19546600271
Iceland,72902.9799538499
Israel,54659.753964319
Italy,34157.990122464
Jamaica,6047.21646430936
Jordan,4204.50563967692
Japan,33815.3172733799
Kazakhstan,11243.6712256386
Kenya,2099.30193826696
Cambodia,1786.56081858524
Lebanon,4136.14657516013
Sri Lanka,3354.38340757565
Lithuania,24826.7910371972
Latvia,21851.1052012696
Morocco,3527.94189453125
Moldova,5562.61362534668
Mexico,11091.3054302538
North Macedonia,6591.4712922903
Mali,833.297255208972
Malta,33940.9495961291
Myanmar,1095.70178954585
Montenegro,9893.51590693197
Mongolia,4946.75481125723
Mozambique,541.454425499229
Mauritius,10216.2947440415
Malawi,645.158692067185
Malaysia,11971.9275991535
Namibia,4911.32763537761
Nigeria,2184.42149316828
Nicaragua,2255.42598603695
Netherlands,55985.4034255707
Norway,106148.778627718
Nepal,1336.54604726414
New Zealand,48249.2640150011
Pakistan,1596.66266149236
Panama,17357.6286293985
Peru,7125.8292350929
Philippines,3498.50981598253
Poland,18321.2808899533
Portugal,24274.5165823077
Paraguay,6153.05567679103
Romania,15892.1185256988
Saudi Arabia,30436.2783034025
Senegal,1598.73599053078
Singapore,82807.6490834764
Sierra Leone,461.361138294258
El Salvador,5127.32166823012
Serbia,9393.62890629911
Slovenia,29457.40284439
Sweden,55873.2208108977
Togo,918.376755793481
Thailand,6908.80211929543
Tajikistan,1054.18948358818
Tunisia,3776.66777934015
Tanzania,1192.40380859375
Uganda,964.224385224431
Ukraine,4533.9755859375
Uruguay,20795.0423535553
United States,76398.5917422054
Uzbekistan,2255.15115489364
Vietnam,4163.5143004093
Kosovo,5351.43954231081
South Africa,6776.48007742932
Zambia,1487.90776431025
Zimbabwe,1266.99603069032
