Country Name,Strength of legal rights index (0=weak to 12=strong)
Afghanistan,10.0
Albania,8.0
United Arab Emirates,6.0
Argentina,2.0
Armenia,6.0
Australia,11.0
Austria,4.0
Belgium,8.0
Benin,6.0
Burkina Faso,6.0
Bangladesh,5.0
Bulgaria,8.0
Bahrain,3.0
Bosnia and Herzegovina,7.0
Bolivia,0.0
Brazil,2.0
Canada,9.0
Switzerland,6.0
Chile,4.0
China,3.0
Cameroon,6.0
Colombia,11.0
Costa Rica,10.0
Cyprus,7.0
Czechia,7.0
Germany,6.0
Denmark,8.0
Dominican Republic,1.0
Algeria,2.0
Ecuador,1.0
Spain,5.0
Estonia,7.0
Ethiopia,3.0
Finland,6.0
France,4.0
Gabon,6.0
United Kingdom,7.0
Georgia,9.0
Ghana,6.0
Guinea,6.0
Greece,2.0
Honduras,8.0
Croatia,5.0
Hungary,9.0
Indonesia,6.0
India,9.0
Ireland,7.0
Iraq,0.0
Iceland,4.0
Israel,6.0
Italy,2.0
Jamaica,9.0
Jordan,11.0
Japan,5.0
Kazakhstan,8.0
Kenya,11.0
Cambodia,10.0
Lebanon,2.0
Sri Lanka,2.0
Lithuania,6.0
Latvia,9.0
Morocco,2.0
Moldova,8.0
Mexico,10.0
North Macedonia,9.0
Mali,6.0
Malta,2.0
Myanmar,2.0
Montenegro,12.0
Mongolia,9.0
Mozambique,1.0
Mauritius,6.0
Malawi,11.0
Malaysia,7.0
Namibia,5.0
Nigeria,9.0
Nicaragua,2.0
Netherlands,2.0
Norway,5.0
Nepal,10.0
New Zealand,12.0
Pakistan,2.0
Panama,8.0
Peru,7.0
Philippines,1.0
Poland,7.0
Portugal,2.0
Paraguay,1.0
Romania,9.0
Saudi Arabia,3.0
Senegal,6.0
Singapore,8.0
Sierra Leone,5.0
El Salvador,9.0
Serbia,6.0
Slovenia,3.0
Sweden,7.0
Togo,6.0
Thailand,7.0
Tajikistan,11.0
Tunisia,3.0
Tanzania,5.0
Uganda,5.0
Ukraine,8.0
Uruguay,4.0
United States,11.0
Uzbekistan,6.0
Vietnam,8.0
Kosovo,11.0
South Africa,5.0
Zambia,11.0
Zimbabwe,6.0
