Country Name,"Life expectancy at birth, total (years)"
Afghanistan,61.982
Albania,76.463
United Arab Emirates,78.71
Argentina,75.39
Armenia,72.043
Austria,81.2390243902439
Burkina Faso,59.27
Bulgaria,71.5146341463415
Bahrain,78.76
Bolivia,63.63
Brazil,72.75
Canada,82.5966097560976
Switzerland,83.8512195121951
Chile,78.944
China,78.211
Colombia,72.83
Costa Rica,77.023
Cyprus,81.203
Czechia,77.3731707317073
Germany,80.9009756097561
Denmark,81.4048780487805
Dominican Republic,72.615
Algeria,76.377
Ecuador,73.67
Spain,83.1780487804878
Estonia,76.7414634146342
Ethiopia,64.975
Finland,81.9341463414634
Gabon,65.821
United Kingdom,80.7
Georgia,71.694
Ghana,63.795
Guinea,58.892
Greece,80.1829268292683
Honduras,70.123
Croatia,76.4243902439025
Hungary,74.4658536585366
Indonesia,67.57
India,67.24
Iraq,70.378
Iceland,83.1170731707317
Israel,82.5
Jamaica,70.5
Jordan,74.256
Japan,84.4456097560976
Kazakhstan,70.23
Kenya,61.427
Cambodia,69.584
Lebanon,75.047
Sri Lanka,76.399
Lithuania,74.3390243902439
Latvia,73.2829268292683
Morocco,74.042
Moldova,68.846
North Macedonia,74.5368292682927
Malta,82.8609756097561
Myanmar,65.672
Montenegro,73.8243902439024
Mozambique,59.325
Mauritius,73.680243902439
Malaysia,74.884
Namibia,59.269
Nigeria,52.676
Nicaragua,73.837
Netherlands,81.4609756097561
Norway,83.1634146341463
Nepal,68.45
New Zealand,82.2073170731707
Peru,72.377
Philippines,69.266
Poland,75.6024390243903
Paraguay,70.262
Saudi Arabia,76.936
Senegal,67.093
Singapore,83.4414634146342
El Salvador,70.748
Slovenia,80.8756097560976
Sweden,83.1560975609756
Togo,61.619
Tajikistan,71.594
Tunisia,73.772
Tanzania,66.201
Uganda,62.705
United States,76.3292682926829
Uzbekistan,70.862
Vietnam,73.618
South Africa,62.341
Zambia,61.223
Zimbabwe,59.253
