Country,happiness_score
Finland,7821.0
Denmark,7636.0
Iceland,7557.0
Switzerland,7512.0
Netherlands,7415.0
Luxembourg*,7404.0
Sweden,7384.0
Norway,7365.0
Israel,7364.0
New Zealand,7200.0
Austria,7163.0
Germany,7034.0
Canada,7025.0
United States,6977.0
United Kingdom,6943.0
Czechia,6920.0
Bahrain,6647.0
Slovenia,6630.0
Costa Rica,6582.0
United Arab Emirates,6576.0
Saudi Arabia,6523.0
Taiwan Province of China,6512.0
Singapore,6480.0
Spain,6476.0
Malta,6447.0
Lithuania,6446.0
Slovakia,6391.0
Estonia,6341.0
Brazil,6293.0
Guatemala*,6262.0
Kazakhstan,6234.0
Cyprus,6221.0
Latvia,6180.0
Chile,6172.0
Nicaragua,6165.0
Croatia,6125.0
Poland,6123.0
El Salvador,6120.0
Kuwait*,6106.0
Hungary,6086.0
Mauritius,6071.0
Uzbekistan,6063.0
Japan,6039.0
Honduras,6022.0
Argentina,5967.0
Greece,5948.0
South Korea,5935.0
Philippines,5904.0
Moldova,5857.0
Jamaica,5850.0
Kyrgyzstan,5828.0
Colombia,5781.0
Dominican Republic,5737.0
Malaysia,5711.0
Bolivia,5600.0
China,5585.0
Paraguay,5578.0
Peru,5559.0
Montenegro,5547.0
Ecuador,5533.0
Vietnam,5485.0
Turkmenistan*,5474.0
Russia,5459.0
Armenia,5399.0
Tajikistan,5377.0
Nepal,5377.0
Bulgaria,5371.0
Libya*,5330.0
Indonesia,5240.0
Ivory Coast,5235.0
North Macedonia,5199.0
Albania,5199.0
South Africa,5194.0
Azerbaijan*,5173.0
Gambia*,5164.0
Laos,5140.0
Algeria,5122.0
Congo,5075.0
Morocco,5060.0
Mozambique,5048.0
Senegal,5046.0
Niger*,5003.0
Georgia,4973.0
Gabon,4958.0
Iraq,4941.0
Venezuela,4925.0
Guinea,4891.0
Iran,4888.0
Ghana,4872.0
Turkey,4744.0
Burkina Faso,4670.0
Cambodia,4640.0
Uganda,4603.0
Nigeria,4552.0
Kenya,4543.0
Tunisia,4516.0
Palestinian Territories*,4483.0
Namibia,4459.0
"Eswatini, Kingdom of*",4396.0
Myanmar,4394.0
Sri Lanka,4362.0
Madagascar*,4339.0
Egypt,4288.0
Chad*,4251.0
Ethiopia,4241.0
Yemen*,4197.0
Mauritania*,4153.0
Jordan,4152.0
Togo,4112.0
India,3777.0
Zambia,3760.0
Tanzania,3702.0
Lesotho*,3512.0
Rwanda*,3268.0
Zimbabwe,2995.0
Lebanon,2955.0
Afghanistan,2404.0
