basket_ID,item,cash_price,make,model,goods_code,Nbr_of_prod_purchas
70262,COMPUTERS,1899,APPLE,2021 APPLE MACBOOK PRO 14 M1 PRO PROCESSOR 16GB RA,240575990,1
70897,COMPUTERS,749,APPLE,2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 128G,240040984,1
9281,LIVING & DINING FURNITURE,1500,RETAILER,RETAILER,238382853,1
9281,LIVING & DINING FURNITURE,550,RETAILER,RETAILER,238381262,1
9281,FULFILMENT CHARGE,0,RETAILER,RETAILER,FULFILMENT,1
68131,COMPUTER PERIPHERALS ACCESSORIES,469,APPLE,APPLE WATCH SERIES 7 GPS CELLULAR 41MM MIDNIGHT AL,240376610,1
60221,COMPUTERS,1899,APPLE,2021 APPLE MACBOOK PRO 14 M1 PRO PROCESSOR 16GB RA,240575990,1
60221,FULFILMENT CHARGE,11,RETAILER,RETAILER,FULFILMENT,1
48325,LIVING DINING FURNITURE,1699,RETAILER,RETAILER CROMWELL CHESTERFIELD GRAND 4,234966617,1
48325,LIVING DINING FURNITURE,1499,RETAILER,RETAILER CROMWELL CHESTERFIELD LARGE 3,234966630,1
48325,LIVING DINING FURNITURE,998,RETAILER,RETAILER RISE ARMCHAIR METAL LEG,239123028,2
12195,LIVING & DINING FURNITURE,899,RETAILER,RETAILER,238704341,1
26573,COMPUTERS,1379,APPLE,2020 APPLE MACBOOK PRO 13 TOUCH BAR M1 PROCESSOR 8,239246783,1
45932,COMPUTERS,556,APPLE,2020 APPLE IPAD AIR 10 9 A14 BIONIC PROCESSOR IOS,239001415,1
45932,COMPUTER PERIPHERALS ACCESSORIES,119,APPLE,APPLE PENCIL 2ND GENERATION 2018 MATTE WHITE,237841896,1
19877,TELEVISIONS HOME CINEMA,1799,SAMSUNG,SAMSUNG THE FRAME 2021 QLED ART MODE TV WITH SLIM,239841523,1
