gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,current_annual_salary
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014,59027.0
F,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer II,04/23/2012,2012,56990.0
,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,12/27/2016,2016,39257.0
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,08/12/2013,2013,53788.0
M,FRS,Fire and Rescue Services,Safety,Fulltime-Regular,Fire/Rescue Captain,11/17/1997,1997,112266.0
M,DLC,Department of Liquor Control,Kensington,Fulltime-Regular,Liquor Store Manager,08/08/2000,2000,73547.33
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/04/2012,2012,43525.72
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,04/02/2012,2012,36707.05
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/16/2006,2006,40534.54
F,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,03/05/2007,2007,48260.15
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/08/2013,2013,43525.72
M,OCP,Office of Consumer Protection,Investigations,Fulltime-Regular,Investigator III,11/24/2008,2008,93450.27
M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Public Safety Communications Specialist II,11/09/1998,1998,52031.02
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,03/19/2007,2007,65716.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,06/04/1967,1967,100849.36
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician I,04/20/2015,2015,50820.87
F,LIB,Department of Public Libraries,Olney Library,Fulltime-Regular,Librarian II,01/29/1990,1990,100849.36
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,07/11/2016,2016,42792.0
F,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector III,06/12/2006,2006,93396.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,12/15/2003,2003,57716.72
F,REC,Department of Recreation,Southern Region,Fulltime-Regular,Office Services Coordinator,09/21/1987,1987,69222.18
F,POL,Department of Police,MSB Personnel Division,Fulltime-Regular,Administrative Specialist III,04/10/1989,1989,95263.92
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker III,01/05/2009,2009,92152.37
F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,07/19/2004,2004,56236.95
F,FRS,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Fire/Rescue Lieutenant,09/11/2000,2000,106456.0
M,DPS,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Permitting and Code Enforcement Inspector III,09/21/2015,2015,77774.66
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,04/18/2016,2016,33395.15
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),02/19/2002,2002,74713.0
F,DOT,Department of Transportation,Transit COS Marketing,Fulltime-Regular,Transit Marketing Specialist,06/26/2000,2000,84974.0
M,POL,Department of Police,ISB Criminal Investigations Division 1st District Investigative Section,Fulltime-Regular,Police Sergeant,06/25/1990,1990,107128.71
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,01/07/2013,2013,45049.12
F,OCP,Office of Consumer Protection,Investigations,Fulltime-Regular,Investigator III,02/22/1994,1994,105743.92
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,48722.98
M,HHS,Department of Health and Human Services,Adult Drug Court,Fulltime-Regular,Therapist I,07/25/2016,2016,60048.75
M,POL,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Technician III,01/02/2001,2001,77343.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,09/15/1997,1997,63274.56
