Year_Month_DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,CRSElapsedTime,Origin,Dest,Distance,arr_delay
2008-03-16,7,1900-01-01 10:26:00,1900-01-01 13:20:00,OO,5868,N932SW,114.0,TUS,DEN,639.0,-10.0
2008-03-20,4,1900-01-01 20:40:00,1900-01-01 22:00:00,AA,1300,N207AA,80.0,DFW,MEM,432.0,-13.0
2008-01-14,1,1900-01-01 07:05:00,1900-01-01 08:25:00,WN,1310,N472WN,80.0,BWI,CMH,336.0,-7.0
2008-04-12,6,1900-01-01 09:25:00,1900-01-01 10:35:00,WN,2739,N425LV,70.0,SAN,PHX,304.0,-2.0
2008-04-18,5,1900-01-01 09:29:00,1900-01-01 10:55:00,OO,6595,N917SW,86.0,SLC,DEN,391.0,-11.0
2008-04-30,3,1900-01-01 22:25:00,1900-01-01 06:16:00,US,1548,N179UW,291.0,SEA,CLT,2279.0,8.0
2008-04-07,1,1900-01-01 17:52:00,1900-01-01 18:59:00,OO,5806,N465SW,127.0,ABE,ORD,654.0,33.0
2008-01-11,5,1900-01-01 11:30:00,1900-01-01 12:10:00,YV,1003,N651BR,40.0,HNL,KOA,163.0,-8.0
2008-03-06,4,1900-01-01 17:15:00,1900-01-01 20:10:00,US,408,N835AW,115.0,SFO,PHX,651.0,-1.0
2008-03-08,6,1900-01-01 10:15:00,1900-01-01 12:21:00,OO,6735,N920SW,126.0,DEN,MSO,679.0,-8.0
2008-01-12,6,1900-01-01 05:05:00,1900-01-01 05:42:00,AQ,200,N810AL,37.0,HNL,OGG,100.0,-10.0
2008-03-04,2,1900-01-01 18:00:00,1900-01-01 18:10:00,WN,3132,N420WN,70.0,PHX,SNA,338.0,1.0
2008-02-18,1,1900-01-01 18:55:00,1900-01-01 22:10:00,WN,3410,N790SW,195.0,BDL,TPA,1111.0,106.0
2008-02-12,2,1900-01-01 09:05:00,1900-01-01 09:30:00,WN,1361,N210WN,85.0,CMH,STL,410.0,20.0
2008-04-17,4,1900-01-01 15:10:00,1900-01-01 16:15:00,WN,2698,N227WN,65.0,OAK,BUR,325.0,-6.0
2008-01-03,4,1900-01-01 22:40:00,1900-01-01 23:14:00,DL,1429,N3748Y,94.0,ATL,MSY,425.0,-10.0
2008-04-19,6,1900-01-01 19:10:00,1900-01-01 20:23:00,B6,286,N665JB,73.0,LGB,LAS,231.0,-12.0
2008-01-30,3,1900-01-01 07:45:00,1900-01-01 09:55:00,9E,5685,85779E,190.0,RIC,MSP,970.0,-22.0
2008-02-21,4,1900-01-01 13:05:00,1900-01-01 15:00:00,WN,1945,N361SW,175.0,BWI,MCI,967.0,61.0
2008-04-08,2,1900-01-01 09:30:00,1900-01-01 10:40:00,WN,701,N691WN,130.0,BWI,STL,737.0,6.0
2008-03-25,2,1900-01-01 16:45:00,1900-01-01 19:53:00,EV,4624,N823AS,128.0,ICT,ATL,781.0,-14.0
2008-04-08,2,1900-01-01 06:30:00,1900-01-01 07:47:00,CO,1119,N16647,77.0,BOS,EWR,200.0,0.0
2008-01-18,5,1900-01-01 06:00:00,1900-01-01 08:17:00,FL,188,N940AT,137.0,SWF,ATL,784.0,63.0
2008-03-01,6,1900-01-01 09:24:00,1900-01-01 10:15:00,OO,5432,N216SW,51.0,BFL,LAX,109.0,0.0
2008-02-10,7,1900-01-01 19:10:00,1900-01-01 20:35:00,WN,1053,N693SW,85.0,BNA,MDW,395.0,21.0
2008-03-06,4,1900-01-01 14:55:00,1900-01-01 15:58:00,OH,5132,N797CA,63.0,JFK,BDL,106.0,47.0
2008-01-11,5,1900-01-01 15:45:00,1900-01-01 18:04:00,UA,156,N301UA,79.0,ORD,DTW,235.0,5.0
2008-04-17,4,1900-01-01 17:15:00,1900-01-01 18:20:00,WN,219,N671SW,65.0,PHX,ONT,325.0,4.0
2008-01-02,3,1900-01-01 08:00:00,1900-01-01 16:38:00,UA,6,N557UA,338.0,SFO,JFK,2586.0,-6.0
2008-03-05,3,1900-01-01 11:00:00,1900-01-01 11:45:00,EV,4633,N872AS,105.0,ATL,LIT,453.0,17.0
2008-03-19,3,1900-01-01 10:20:00,1900-01-01 11:31:00,CO,1823,N33637,71.0,IAH,MSY,305.0,3.0
2008-03-12,3,1900-01-01 19:40:00,1900-01-01 20:55:00,9E,2837,88399E,75.0,MEM,MOB,317.0,-13.0
2008-04-07,1,1900-01-01 08:15:00,1900-01-01 10:20:00,WN,805,N306SW,245.0,BWI,DEN,1491.0,22.0
2008-03-25,2,1900-01-01 14:05:00,1900-01-01 16:00:00,AA,2223,N402AA,175.0,LGA,STL,887.0,14.0
2008-04-25,5,1900-01-01 06:30:00,1900-01-01 07:54:00,CO,1087,N75861,144.0,MCO,IAH,853.0,17.0
2008-03-26,3,1900-01-01 07:10:00,1900-01-01 08:47:00,EV,4427,N716EV,97.0,DAY,ATL,432.0,-2.0
