Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
Amgen Inc.,No,,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
Ferring Pharmaceuticals Inc.,No,,FIRMAGON,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Boston Scientific Corporation,No,KIDNEY STONE DISEASE,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Grifols USA, LLC",No,,Gamunex-C,Allopathic & Osteopathic Physicians|Internal Medicine|Addiction Medicine,disallowed
Septodont Inc.,No,,ARTICAINESEPTOCAINE,Dental Providers|Dentist|Periodontics,disallowed
"Genentech USA, Inc.",No,,Actemra,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
"Elekta, Inc.",No,ELEKTA ONCOLOGY INFO SYSTEM,,Dental Providers|Dentist|General Practice,disallowed
"EMD Serono, Inc.",No,,Gonal-f,Physician Assistants & Advanced Practice Nursing Providers|Advanced Practice Midwife,disallowed
"Penumbra, Inc.",No,,,Dental Providers|Dentist|General Practice,disallowed
Roche Diagnostics Corporation,No,PD - CD Lab Operations,,,disallowed
Luitpold Pharmaceuticals Inc,No,Sprix,Sprix,Podiatric Medicine & Surgery Service Providers|Podiatrist|Primary Podiatric Medicine,disallowed
bioMerieux,No,PCT,,Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,disallowed
"Genentech, Inc.",No,,Perjeta,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Cook Incorporated,No,PI - Self-Expanding Stent,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Exelixis Inc.,No,,COMETRIQ,Allopathic & Osteopathic Physicians|Pathology|Clinical Pathology/Laboratory Medicine,disallowed
"180 Medical, Inc.",No,UROLOGICAL SUPPLIES,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
CLARITY MEDICAL SYSTEM,No,HOLOS INTRA OP,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"Galderma Research & Development, LLC",No,,,Allopathic & Osteopathic Physicians|Dermatology|MOHS-Micrographic Surgery,disallowed
"K2M, Inc.",No,RAVINE,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"AngioScore, Inc.",No,,,Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant,disallowed
Covidien Sales LLC,No,Synthetic Mesh,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Merit Medical Systems Inc,No,Radiology,,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
Novo Nordisk Inc,No,,Levemir,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,disallowed
"W. L. Gore & Associates, Inc.",No,DUALMESH  Biomaterial,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"RTI Surgical, Inc.",No,Allograft,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Arthrosurface Incorporated,No,Puni,,Other Service Providers|Specialist,disallowed
"EMD Serono, Inc.",No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"SurgiQuest, Inc.",No,Air-Seal,Air-Seal,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
DENTSPLY Mexico SA de CV,No,Endodontic Dentistry,,Dental Providers|Dentist|Endodontics,disallowed
"Siemens Medical Solutions USA, Inc.",No,MI - Molecular Imaging,,,allowed
"Impax Laboratories, Inc.",No,,ZOMIG,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neuromuscular Medicine,disallowed
DePuy Synthes Sales Inc.,No,Neurovascular,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Amgen Inc.,No,,Neulasta,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,allowed
"GlaxoSmithKline, LLC.",No,,SORILUX,Allopathic & Osteopathic Physicians|Dermatology,disallowed
Stryker Corporation,No,ARTHROSCOPY,,,disallowed
Dendreon Corporation,No,,PROVENGE,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Female Pelvic Medicine and Reconstructive Surgery,disallowed
"RTI Surgical, Inc.",No,Streamline OCT,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
Shire US Holdings,No,DERMAGRAFT,,Allopathic & Osteopathic Physicians|Preventive Medicine|Public Health & General Preventive Medicine,disallowed
"BioHorizons Implant Systems, Inc.",No,DENTAL IMPLANTS,,Dental Providers|Dentist,disallowed
"Becton, Dickinson and Company",No,Medical,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Shire US Holdings,No,,VYVANSE,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
Dental Material Gesellschaft mbH,No,Honigum,,Dental Providers|Dentist|Pediatric Dentistry,disallowed
Stryker Corporation,No,COMMUNICATIONS,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
UCB SA,No,,Keppra,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
DePuy Orthopaedics Inc.,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
Genzyme Corporation,No,,CEREZYME,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Ellex, Inc",No,TANGO SLT/ND:YAG COMBINATION LASER SYSTEM,,,disallowed
"GlaxoSmithKline, LLC.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Adolescent Medicine,disallowed
"COMSORT, Inc",No,,MK-0822,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
Johnson and Johnson International,No,Energy Harmonic,,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
"Medtronic Xomed, Inc.",No,Autotransfusion and Diagnostics,,Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Radiology|Pediatric Radiology,disallowed
Covidien Sales LLC,No,Synthetic Mesh,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"Taro Pharmaceuticals USA, Inc.",No,,Topicort,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Stryker Corporation,No,,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Baxter Healthcare,No,,BioTherapeutics - GAMMAGARD-KIOVIG,Allopathic & Osteopathic Physicians|Urology,disallowed
"LILLY USA, LLC",No,,HUMALOG,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
Philips Electronics North America Corporation,No,Philips Oral Healthcare,,Allopathic & Osteopathic Physicians|Urology,disallowed
"Penumbra, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"COMSORT, Inc",No,,GARDASIL,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"SI-Bone, Inc.",No,iFuse Implant,,Chiropractic Providers|Chiropractor|Orthopedic,disallowed
Sorin Group USA Inc.,No,ATS Machines,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
Quidel Corporation,No,AmpliVue,,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology,disallowed
Reckitt Benckiser Pharmaceuticals Inc.,No,,SUBOXONE SUBLINGUAL FILM,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Cyberonics, Inc.",No,VNS Therapy,,Allopathic & Osteopathic Physicians|Radiology|Neuroradiology,disallowed
"Medtronic USA, Inc.",No,Spinal Cord Neurostimulation - ST,,Other Service Providers|Specialist,disallowed
Novartis Pharmaceuticals Corporation,No,,AFINITOR,Dental Providers|Dentist|General Practice,disallowed
SANOFI-AVENTIS U.S. LLC,No,,MOZOBIL,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
Novo Nordisk Inc,No,,Victoza,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
"AbbVie, Inc.",No,,Creon,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Geriatric Psychiatry,disallowed
B. Braun Medical Inc.,No,Pain Control,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
Cook Incorporated,No,Interventional Radiology,,Allopathic & Osteopathic Physicians|Surgery,disallowed
SANOFI-AVENTIS U.S. LLC,No,Osteoarthritis of the knee,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Sports Medicine,disallowed
Baxter Healthcare,No,,BioSurgery - TISSEEL,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
"AMAG Pharmaceuticals, Inc.",No,,Feraheme,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
Systagenix Wound Management Inc.,No,Advanced Wound Dressings,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Astellas Pharma US Inc,No,,Myrbetriq,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Emergency Medicine,disallowed
"Visualase, Inc.",No,MRI-compatible Trochar,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,disallowed
Novartis Pharmaceuticals Corporation,No,,ZORTRESS,Allopathic & Osteopathic Physicians|Urology,disallowed
"Biomet Orthopedics, LLC",No,ORTHO - KNEES,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"DJO, LLC",No,Orthoses  Prefab  non-custom,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Pinnacle, Inc",No,ALL ARTHREX PRODUCT LINES,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"Aptalis Pharma US, Inc",No,,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Janssen Pharmaceuticals, Inc",No,,Invega Sustenna,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
NOVARTIS PHARMACEUTICALS CORPORATION,No,,MIDOSTAURIN,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
Baxter Healthcare,No,,BioSurgery - PERI-STRIPS,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Janssen Pharmaceuticals, Inc",No,,Nucynta,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
Stryker Corporation,No,INTERBODY DEVICE,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Pediatric Orthopaedic Surgery,disallowed
"Janssen Biotech, Inc.",No,,No Product,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Janssen Pharmaceuticals, Inc",No,,Invega Sustenna,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,disallowed
Valeant Pharmaceuticals North America LLC,No,,,Allopathic & Osteopathic Physicians|Allergy & Immunology|Allergy,disallowed
SHIONOGI INC,No,,Osphena,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,IXEMPRA,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
Merck Sharp & Dohme Corporation,No,,ZETIA,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
Convatec Inc.,No,WOUND THERAPEUTICS,,Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,disallowed
Hollister Incorporated,No,One Piece and two pieces ostomy pounching system,,,disallowed
Monteris Medical Corporation,No,Neuroblate,,Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Gerontology,disallowed
Aqua Pharmaceuticals,No,,CORDRAN LOTION,Other Service Providers|Legal Medicine,disallowed
Novartis Pharmaceuticals Corporation,No,,EXFORGE,Allopathic & Osteopathic Physicians|Dermatology,disallowed
Covidien Sales LLC,No,Vessel Sealing and Dissection,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Medline Industries, Inc.",No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"Medtronic Xomed, Inc.",No,Advanced Energy Cutting Device,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"US WorldMeds, LLC",No,,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Medartis Inc.,No,Aptus,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Implant Direct International LLC,No,Dental Implant,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
"Janssen Pharmaceuticals, Inc",No,,No Product,Allopathic & Osteopathic Physicians|Internal Medicine|Addiction Medicine,disallowed
Eisai Inc.,No,,Belviq,Allopathic & Osteopathic Physicians|Nuclear Medicine|Nuclear Cardiology,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,KOMBIGLYZE XR,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
American Medical Systems Inc.,No,AMS Ambicor,,Allopathic & Osteopathic Physicians|Urology,disallowed
"Actelion Pharmaceuticals US, Inc.",No,,VENTAVIS ILOPROST,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
"RTI Surgical, Inc.",No,Fortiva,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
Orthofix International N.V.,No,BioStim,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
Mylan Specialty L.P.,No,,Perforomist,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
Merck Sharp & Dohme Corporation,No,,ZETIA,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology,disallowed
Covidien Sales LLC,No,CVI,,Other Service Providers|Specialist,disallowed
Orthofix International N.V.,No,BioStim,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma,disallowed
"Diagnostica Stago, Inc",No,STA Liatest D-Di,,"Other Service Providers|Medical Genetics, Ph.D. Medical Genetics",disallowed
CONMED Corporation,No,Orthopedic Surgery and Surgical Visualization,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Wockhardt USA LLC,Yes,,Bromfed DM 4 oz. bottle,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Pediatric Orthopaedic Surgery,disallowed
Cordis Corporation,No,Cardiovascular,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Boehringer Ingelheim RCV GmbH & Co KG,No,,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
Mylan Specialty L.P.,No,,EpiPen,Allopathic & Osteopathic Physicians|Otolaryngology|Plastic Surgery within the Head & Neck,disallowed
"Smith & Nephew, Inc.",No,Core Advanced Wound Care,,Allopathic & Osteopathic Physicians|Preventive Medicine|Undersea and Hyperbaric Medicine,disallowed
"Takeda Pharmaceuticals U.S.A., Inc.",No,,Nesina,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Alcon Laboratories Inc,No,,Ciprodex,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
Aqua Pharmaceuticals,No,,CORDRAN CREAM,Other Service Providers|Specialist,disallowed
"Medtronic, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
Amgen Inc.,No,,Sensipar,Dental Providers|Dentist|General Practice,disallowed
"Medtronic Vascular, Inc.",No,Pacemakers,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,SPRYCEL,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
United Therapeutics Corporation,No,,TYVASO,Allopathic & Osteopathic Physicians|Surgery,disallowed
Novartis Pharmaceuticals Corporation,No,,EXELON PATCH,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
Bioventus LLC,No,Exogen,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
Baxter Healthcare,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
Lung Biotechnology Corp,No,,REMODULIN,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
Shire US Holdings,No,,VYVANSE,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Internal Medicine|Adolescent Medicine,disallowed
Ethicon Endo-Surgery Inc.,No,Sedation,,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
"NUVASIVE, INC.",No,Integrated Operative Solutions,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
Zimmer Holding Inc,No,Knee,DeNovo NT,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma,disallowed
Teleflex Medical Incorporated,No,Hem-O-Lok,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Cubist Pharmaceuticals Inc,No,,ENTEREG,Group|Single Specialty,disallowed
Cook Incorporated,No,AI - Accessories,,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
Mallinckrodt LLC,No,,Sumavel DosePro,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
Orthofix International N.V.,No,BioStim,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
"Otsuka America Pharmaceutical, Inc.",No,,ABILIFY TABLET,Allopathic & Osteopathic Physicians|Radiology|Neuroradiology,disallowed
"Medtronic USA, Inc.",No,Drug Infusion Systems,,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,disallowed
PFIZER INC.,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Acclarent, Inc",No,Rhinology,,Allopathic & Osteopathic Physicians|Otolaryngology,allowed
Gilead Sciences Inc,No,,Letairis,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Ethicon Inc.,No,Synthetics,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"Par Pharmaceutical, Inc.",No,,MEGACE ES MEGESTROL ACETATE,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"UCB, Inc.",No,,Cimzia,Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,disallowed
"Bard International, Inc.",No,Oncology,,Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,disallowed
Bacterin International Inc,No,OsteoSelect DBM Putty,hMatrix Fascia,Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,disallowed
Merck Sharp & Dohme Corporation,No,,NON-PRODUCT,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Hospice and Palliative Medicine,disallowed
Promius Pharma LLC,No,,ZENATANE,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Stryker Corporation,No,HIPS,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Stryker Corporation,No,STENTS,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
