seqid,date_of_stop,time_of_stop,agency,subagency,description,location,latitude,longitude,accident,belts,personal_injury,property_damage,fatal,commercial_license,hazmat,commercial_vehicle,alcohol,work_zone,search_conducted,search_disposition,search_outcome,search_reason,search_reason_for_stop,search_type,search_arrest_reason,state,vehicletype,year,make,model,color,charge,article,contributed_to_accident,race,gender,driver_city,driver_state,dl_state,arrest_type,geolocation,violation_type
fd3ee8f9-05f0-4d57-bdb6-9498d303a94c,07/23/2019,00:12:00,MCP,"3rd District, Silver Spring",DRIVER FAILURE TO USE SIGNAL LAMP BEFORE TURN,PINEY BRANCH RD. AT DALE DR.,39.04653,-76.9952916666667,No,No,No,No,No,No,No,No,No,No,Yes,Nothing,Arrest,Probable Cause,13-411(c1),Both,Stop,MD,02 - Automobile,2005.0,ACURA,TL,SILVER,21-605(a),Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.04653, -76.9952916666667)",Citation
3ca2ee89-9e21-4a47-b583-7c426d6b3137,07/11/2015,18:00:00,MCP,"3rd District, Silver Spring",OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,FENTON ST/WAYNE AVE,38.993868333333296,-77.0240883333333,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-201(a1),,,MD,02 - Automobile,2006.0,NISSAN,MAXIMA,WHITE,22-406(i1),Transportation Article,False,BLACK,M,LANHAM,MD,MD,A - Marked Patrol,"(38.9938683333333, -77.0240883333333)",Citation
a8a3c188-0cd1-4006-9436-883f04c8f061,04/10/2016,18:38:00,MCP,"4th District, Wheaton",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,N/B NORBECK RD @ AVERY RD,39.0915,-77.1258583333333,No,Yes,No,No,No,No,No,No,No,No,No,,Citation,,21-1124.2(d2),,,WA,02 - Automobile,2004.0,SUBARU,IMPREZA,SILVER,13-411(d),Transportation Article,False,WHITE,M,BELLINGHA,WA,WA,A - Marked Patrol,"(39.0915, -77.1258583333333)",Citation
a239bc53-3581-44a6-8cda-35ac5c5df855,03/17/2015,21:38:00,MCP,Headquarters and Special Operations,"PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",CENTERWAY RD/CLUB HOUSE RD,39.17332,-77.2013716666667,No,No,No,No,No,No,No,No,No,No,No,,Citation,,23-104,,,MD,02 - Automobile,1997.0,HOND,TK,BLACK,16-303(h),Transportation Article,False,BLACK,M,GERMANTOWN,MD,MD,B - Unmarked Patrol,"(39.17332, -77.2013716666667)",Citation
fdd85f93-0e0c-4d79-9681-9e1b1fdd9bf4,08/11/2016,08:14:00,MCP,"5th District, Germantown",EXCEEDING MAXIMUM SPEED: 56 MPH IN A POSTED 35 MPH ZONE,26400 BLK OF WOODFIELD RD,39.2844416666667,-77.201995,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2004.0,TOYOTA,CAMRY,SILVER,21-801.1,Transportation Article,False,WHITE,F,MOUNT AIRY,MD,MD,G - Marked Moving Radar (Stationary),"(39.2844416666667, -77.201995)",Citation
52ee048e-2520-4676-a0b0-85c70cfc4b1f,10/01/2013,17:44:00,MCP,"5th District, Germantown",EXCEEDING MAXIMUM SPEED: 61 MPH IN A POSTED 40 MPH ZONE,MIDDLEBROOK RD@OBSERVATION DR,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2013.0,NISSAN,4D,WHITE,21-801.1,Transportation Article,False,WHITE,F,BALTIMORE,MD,MD,A - Marked Patrol,"(0.0, 0.0)",Citation
d26336fb-2ab5-409f-a6c4-ccc532ff6f88,09/06/2013,20:28:00,MCP,"3rd District, Silver Spring",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,UNIVERSITY BLVD E @ LANGLEY DR,39.0003970166667,-76.9957650333333,No,No,No,No,No,No,No,No,No,No,No,,Citation,,22-201.1,,,MD,02 - Automobile,2003.0,TOYOTA,CAMRY 4D,GREEN,16-116(a),Transportation Article,False,ASIAN,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(39.0003970166667, -76.9957650333333)",Citation
e88a2986-1b8c-4a5e-8c78-ecee196cade6,04/15/2013,08:42:00,MCP,"6th District, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,LN 2 SB 355 @ MARYLAND AVE,39.1447366666667,-77.2029533333333,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2013.0,NISS,4S,BLACK,21-801.1,Transportation Article,False,WHITE,F,BETHESDA,MD,MD,Q - Marked Laser,"(39.1447366666667, -77.2029533333333)",Citation
658e92d5-568a-4e7b-9122-155f4b7afa87,07/25/2017,17:07:00,MCP,"2nd District, Bethesda",DRIVER PASSING VEH. STOPPED FOR PEDESTRIAN AT CROSSWALK,N/B 355  @ CHASE,38.9972,-77.0909033333333,No,No,No,No,No,No,No,No,No,No,,,,,,,,MD,02 - Automobile,2005.0,ACURA,4DR,BLACK,21-502(c),Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9972, -77.0909033333333)",Citation
41af8cd3-3c97-452a-8eb3-aec2a0778283,01/15/2018,16:30:00,MCP,"2nd District, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,W/B RIVER ROAD AND 495,38.9909483333333,-77.1554233333333,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,VA,02 - Automobile,2008.0,TOYOTA,HIGHLANDER,SILVER,21-801(b),Transportation Article,True,OTHER,F,RESTON,VA,VA,A - Marked Patrol,"(38.9909483333333, -77.1554233333333)",Citation
