task,method,scorer,score,tokens,llm_calls,wall_clock_s,time_budget_s,relational
bike-sharing,autogluon,neg_root_mean_squared_error,-124.95747375488281,0,0,3583.4,3600.0,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,41614,4,735.2,,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,0,0,57.2,,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,0,1,128.2,,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,0,2,207.6,,False
country-happiness,extension,neg_root_mean_squared_error,-721.4820965742887,0,1,29.2,,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,0,1,206.2,,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,0,1,301.6,,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,0,1,44.6,,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,0,1,394.8,,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,0,1,77.2,,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,0,1,124.4,,False
country-happiness,extension,neg_root_mean_squared_error,-753.8692081830474,0,1,161.0,,False
credit-fraud,autogluon,roc_auc,0.6022891157830625,0,0,3176.7,3600.0,False
credit-fraud,extension,roc_auc,0.8264230842157883,43523,4,1620.4,,False
credit-fraud,extension,roc_auc,0.8091340546193139,0,0,288.6,,False
credit-fraud,extension,roc_auc,0.8280290276429118,0,1,573.5,,False
credit-fraud,extension,roc_auc,0.8235789268046035,0,2,1096.5,,False
flight-delays,autogluon,neg_root_mean_squared_error,-35.23502533408456,0,0,2018.8,3600.0,False
medical-charge,autogluon,neg_root_mean_squared_error,-1694.9288486557803,0,0,3634.9,3600.0,False
movielens,autogluon,neg_root_mean_squared_error,-0.9542485146403629,0,0,1753.9,3600.0,False
movielens,extension,neg_root_mean_squared_error,-1.0059928503637303,33138,4,1868.4,,False
open-payments,autogluon,accuracy,0.940625,0,0,2104.2,3600.0,False
open-payments,extension,accuracy,0.940625,32487,4,2722.6,,False
toxicity,autogluon,accuracy,0.69,0,0,428.3,3600.0,False
toxicity,extension,accuracy,0.94,0,0,1377.3,,False
toxicity,extension,accuracy,0.95,0,1,2638.6,,False
toxicity,extension,accuracy,0.95,0,2,3539.6,,False
toxicity,extension,accuracy,0.845,33262,4,741.6,,False
toxicity,extension,accuracy,0.945,33067,4,2932.9,,False
traffic-violations,autogluon,accuracy,0.883,0,0,3600.6,3600.0,False
traffic-violations,extension,accuracy,0.885,0,0,917.3,,False
traffic-violations,extension,accuracy,0.8833333333333333,0,1,1461.0,,False
traffic-violations,extension,accuracy,0.8843333333333333,0,2,1814.8,,False
traffic-violations,extension,accuracy,0.8373333333333334,42386,4,1017.9,,False
traffic-violations,extension,accuracy,0.8853333333333333,50195,4,1607.9,,False
videogame-sales,autogluon,neg_root_mean_squared_error,-1.1633375319309092,0,0,2301.4,3600.0,False
videogame-sales,extension,neg_root_mean_squared_error,-1.2777872592259694,33472,4,1681.8,,False
